# x	y	u	v	mask
  1.2311	 95.8333	  0.0002	  0.0773	  1.0000
  2.1780	 95.8333	 -0.0012	  0.0744	  0.0000
  3.1250	 95.8333	  0.0020	  0.0705	  0.0000
  4.0720	 95.8333	 -0.0000	  0.0768	  1.0000
  5.0189	 95.8333	  0.0000	  0.0768	  1.0000
  5.9659	 95.8333	  0.0002	  0.0832	  0.0000
  6.9129	 95.8333	  0.0003	  0.0818	  0.0000
  7.8598	 95.8333	  0.0009	  0.0863	  0.0000
  8.8068	 95.8333	  0.0004	  0.0770	  0.0000
  9.7538	 95.8333	  0.0032	  0.0776	  0.0000
 10.7008	 95.8333	  0.0013	  0.0844	  0.0000
 11.6477	 95.8333	  0.0004	  0.0901	  0.0000
 12.5947	 95.8333	  0.0006	  0.0827	  1.0000
 13.5417	 95.8333	  0.0035	  0.0879	  0.0000
 14.4886	 95.8333	  0.0014	  0.0877	  0.0000
 15.4356	 95.8333	  0.0013	  0.0886	  0.0000
 16.3826	 95.8333	  0.0008	  0.0835	  1.0000
 17.3295	 95.8333	  0.0018	  0.0804	  0.0000
 18.2765	 95.8333	  0.0014	  0.0819	  1.0000
 19.2235	 95.8333	  0.0021	  0.0814	  1.0000
 20.1705	 95.8333	  0.0019	  0.0778	  0.0000
 21.1174	 95.8333	  0.0015	  0.0808	  0.0000
 22.0644	 95.8333	  0.0160	  0.0775	  1.0000
 23.0114	 95.8333	  0.0097	  0.0813	  0.0000
 23.9583	 95.8333	  0.0188	  0.0799	  0.0000
 24.9053	 95.8333	  0.0541	  0.0646	  0.0000
 25.8523	 95.8333	  0.0858	  0.0617	  0.0000
 26.7992	 95.8333	  0.1254	  0.0706	  0.0000
 27.7462	 95.8333	  0.1616	  0.0605	  0.0000
 28.6932	 95.8333	  0.1989	  0.0687	  0.0000
 29.6402	 95.8333	  0.2827	  0.0397	  0.0000
 30.5871	 95.8333	  0.3780	  0.0017	  0.0000
 31.5341	 95.8333	  0.3863	 -0.0186	  0.0000
 32.4811	 95.8333	  0.3619	 -0.0133	  0.0000
 33.4280	 95.8333	  0.3421	 -0.0145	  0.0000
 34.3750	 95.8333	  0.2628	 -0.0018	  0.0000
 35.3220	 95.8333	  0.2699	  0.0002	  0.0000
 36.2689	 95.8333	  0.2104	 -0.0022	  0.0000
 37.2159	 95.8333	  0.2029	  0.0056	  0.0000
 38.1629	 95.8333	  0.1770	  0.0066	  0.0000
 39.1098	 95.8333	  0.1698	  0.0104	  0.0000
 40.0568	 95.8333	  0.1574	  0.0125	  0.0000
 41.0038	 95.8333	  0.1257	  0.0095	  1.0000
 41.9508	 95.8333	  0.1134	  0.0110	  1.0000
 42.8977	 95.8333	  0.1007	  0.0216	  0.0000
 43.8447	 95.8333	  0.0922	  0.0126	  1.0000
 44.7917	 95.8333	  0.0848	  0.0140	  1.0000
